Monthly Climate Statistics for 'MELBOURNE REGIONAL OFFICE' [086071]																
Created on [ 16 Feb 2022 14:51:20 GMT+00:00]																
																
086071 MELBOURNE REGIONAL OFFICE																
Commenced: 1908																
Last Record: 2015																
Latitude:   37.81 Degrees South																
Longitude:  144.97 Degrees East																
Elevation:      31 m																
State: VIC																
																
Statistic Element	January	February	March	April	May	June	July	August	September	October	November	December	Annual	Number of Years	Start Year	End Year
Mean maximum temperature (Degrees C) for years 1855 to 2015 	26	25.8	23.9	20.3	16.7	14.1	13.5	15	17.3	19.7	22	24.2	19.9	160	1855	2015
Highest temperature (Degrees C) for years 1855 to 2015 	45.6	46.4	41.7	34.9	28.7	22.4	23.3	26.5	31.4	36.9	40.9	43.7	46.4	160	1855	2015
Date of Highest temperature for years 1855 to 2015 	13-Jan-39	07-Feb-09	11-Mar-40	05-Apr-38	07-May-05	02-Jun-57	18-Jul-13	29-Aug-82	28-Sep-28	24-Oct-14	27 Nov  1894	15 Dec  1876	07-Feb-09	N/A	1855	2015
Lowest maximum temperature (Degrees C) for years 1855 to 2015 	14.6	14.7	12	8.9	8.3	5.3	4.4	6.7	8.3	9	11	10.4	4.4	160	1855	2015
Date of Lowest maximum temperature for years 1855 to 2015 	18-Jan-23	18-Feb-51	21-Mar-31	15-Apr-00	31-May-77	23 Jun  1878	04-Jul-01	09 Aug  1872	11-Sep-69	29-Oct-22	04-Nov-13	12 Dec  1867	04-Jul-01	N/A	1855	2015
Decile 1 maximum temperature (Degrees C) for years 1855 to 2015 	19.4	19.6	18.2	15.7	13.3	11.4	10.9	11.8	13.1	14.5	16.3	18.1	 	160	1855	2015
Decile 9 maximum temperature (Degrees C) for years 1855 to 2015 	35.6	34.7	31.7	26.3	20.9	16.9	16.2	18.5	22.2	26.4	30.1	33.1	 	160	1855	2015
Mean number of days >= 30 Degrees C for years 1855 to 2015 	7.8	7	5	0.5	0	0	0	0	0	0.8	3.1	5.8	30	160	1855	2015
Mean number of days >= 35 Degrees C for years 1855 to 2015 	3.6	2.7	1	0	0	0	0	0	0	0.1	0.6	2	10	160	1855	2015
Mean number of days >= 40 Degrees C for years 1855 to 2015 	0.7	0.3	0.1	0	0	0	0	0	0	0	0	0.2	1.3	160	1855	2015
Mean minimum temperature (Degrees C) for years 1855 to 2015 	14.3	14.6	13.2	10.8	8.7	6.9	6	6.7	8	9.6	11.2	13	10.2	160	1855	2015
Lowest temperature (Degrees C) for years 1855 to 2015 	5.5	4.5	2.8	1.5	-1.1	-2.2	-2.8	-2.1	-0.5	0.1	2.5	4.4	-2.8	160	1855	2015
Date of Lowest temperature for years 1855 to 2015 	28 Jan  1885	24-Feb-24	17 Mar  1884	24 Apr  1888	29-May-16	11 Jun  1866	21 Jul  1869	11 Aug  1863	03-Sep-40	03-Oct-18	02 Nov  1896	04 Dec  1870	21 Jul  1869	N/A	1855	2015
Highest minimum temperature (Degrees C) for years 1855 to 2015 	28.8	30.5	26.5	23	18	16.1	14.3	16.2	20.5	24.1	26.2	26.6	30.5	160	1855	2015
Date of Highest minimum temperature for years 1855 to 2015 	21-Jan-97	01-Feb-02	13-Mar-13	02-Apr-14	25-May-09	07-Jun-01	19-Jul-13	20 Aug  1885	29-Sep-99	13-Oct-77	25-Nov-01	12-Dec-98	01-Feb-02	N/A	1855	2015
Decile 1 minimum temperature (Degrees C) for years 1855 to 2015 	10.6	10.7	9.2	6.9	4.9	2.8	2.1	3.1	4.3	5.9	7.6	9.4	 	160	1855	2015
Decile 9 minimum temperature (Degrees C) for years 1855 to 2015 	18.3	18.7	17.3	14.6	12.3	10.4	9.4	10.1	11.6	13.5	15.1	16.7	 	160	1855	2015
Mean number of days <= 2 Degrees C for years 1855 to 2015 	0	0	0	0	0.4	1.9	3	1.7	0.5	0.1	0	0	7.6	160	1855	2015
Mean number of days <= 0 Degrees C for years 1855 to 2015 	0	0	0	0	0	0.3	0.6	0.3	0	0	0	0	1.2	160	1855	2015
Mean daily ground minimum temperature Degrees C for years 1955 to 2015 	13.7	14.2	12.6	9.8	7.8	5.9	5.1	5.5	6.7	8.4	10.3	12.1	9.3	60	1955	2015
Lowest ground temperature Degrees C for years 1955 to 2015 	3.7	5.6	3.3	0.6	-1.1	-2.2	-3.4	-2.4	-1.5	0.7	1.8	4.2	-3.4	60	1955	2015
Date of Lowest ground temperature  for years 1955 to 2015 	27-Jan-57	10-Feb-80	25-Mar-64	30-Apr-09	20-May-81	05-Jun-82	20-Jul-82	08-Aug-63	02-Sep-57	04-Oct-67	08-Nov-71	17-Dec-64	20-Jul-82	N/A	1955	2015
Mean number of days ground min. temp. <= -1 Degrees C for years 1955 to 2015 	0	0	0	0	0	0.3	0.5	0.2	0.1	0	0	0	1.1	60	1955	2015
Mean rainfall (mm) for years 1855 to 2015 	46.8	48	50.1	57.3	55.7	49.5	47.5	50	58	66	60.3	59.1	648.3	159	1855	2015
Highest rainfall (mm) for years 1855 to 2015 	176	238.2	190.7	195	142.5	116.8	178.4	110.8	201.6	193.3	206.1	197.4	967.5	160	1855	2015
Date of Highest rainfall for years 1855 to 2015 	1963	1972	1911	1960	1942	1991	1891	1939	1916	1869	1954	1993	1916	N/A	1855	2015
Lowest rainfall (mm) for years 1855 to 2015 	0.3	0.5	3.7	0	3.8	8	9.4	12.4	12	7.5	6.5	1.7	332.3	160	1855	2015
Date of Lowest rainfall for years 1855 to 2015 	1932	1965	1934	1923	1934	1858	1979	1903	2008	1914	1895	1972	1967	N/A	1855	2015
Decile 1 monthly rainfall (mm) for years 1855 to 2015 	9.4	6.9	11.8	17.8	21.3	25.6	22	23.6	27.9	26.9	21.7	17.6	467.8	160	1855	2015
Decile 5 (median) monthly rainfall (mm) for years 1855 to 2015 	36.6	32.6	38.8	49.8	54.9	43.2	44.4	49.2	52.9	65.6	53.8	51.5	644.2	160	1855	2015
Decile 9 monthly rainfall (mm) for years 1855 to 2015 	99.2	107.9	104.6	114.4	91	85.6	72.1	77.7	92.4	111.2	114.5	110.2	824.9	160	1855	2015
Highest daily rainfall (mm) for years 1855 to 2015 	108	113.4	90.2	80	51.2	44.2	74.4	54.4	58.7	61.4	72.6	99.6	113.4	159	1855	2015
Date of Highest daily rainfall for years 1855 to 2015 	29-Jan-63	03-Feb-05	05-Mar-19	23-Apr-60	15-May-74	22-Jun-04	12 Jul  1891	17 Aug  1881	23-Sep-16	31-Oct-10	21-Nov-54	04-Dec-54	03-Feb-05	N/A	1855	2015
