month	month_num	location	average_rainfall
January	1	Melbourne	46.8
February	2	Melbourne	48
March	3	Melbourne	50.1
April	4	Melbourne	57.3
May	5	Melbourne	55.7
June	6	Melbourne	49.5
July	7	Melbourne	47.5
August	8	Melbourne	50
September	9	Melbourne	58
October	10	Melbourne	66
November	11	Melbourne	60.3
December	12	Melbourne	59.1
January	1	Oxford	56.3484472
February	2	Oxford	43.2484472
March	3	Oxford	44.3447205
April	4	Oxford	45.17639752
May	5	Oxford	52.59875776
June	6	Oxford	53.64099379
July	7	Oxford	58.02111801
August	8	Oxford	60.39130435
September	9	Oxford	56.04285714
October	10	Oxford	66.80869565
November	11	Oxford	61.1
December	12	Oxford	60.5863354
